,preprocessed,category
11549,бананы свежий цена за кг,овощи_и_фрукты
13063,яшкино трубочки вафельный орех грамм,чай_и_сладкое
8693,печенье атланта вес,чай_и_сладкое
5819,пицца с курицей грамм,кулинария
4134,совок мл p gr,для_дома
262,хлеб пшеничный в с,хлеб
9966,яблоки гренни смит кг,овощи_и_фрукты
8052,молоко первый вкус грамм процент,молочка
665,к ц нап дюшес б алк литр,напитки
5060,печенье русс десерт кольцо с конд гл вес,чай_и_сладкое
7148,дан пр тв кл кив бан процент грамм,молочка
8703,булоч филип изюм х,чай_и_сладкое
348,капучино,кафе
11505,сахарный песок кг,бакалея
11211,носки мужской nature синие мод,одежда_и_обувь
7009,лапша удон грамм,бакалея
7649,сыр dolce пармезан процент грамм,гастрономия
2513,молоко питьевое пастеризованное процент пэт бутылка грамм аф ле,молочка
16,ola silk sense вл салфетки универс,для_дома
10748,зелпм kа х х,упаковка
13489,упаковка мочеприемниk детсkий мл,здоровье
13121,сухарики хрустеам багет возд кор краб,снеки
12203,vитамин рататуй грамм,овощи_и_фрукты
12393,coca cola zero напиток б алк с газированный,напитки
5259,зелпм ка х х,для_дома
10060,чипсы картофельные pringles со в,снеки
4914,салат из моркови с курагой,кафе
1036,сырок cвитлогорье грамм,молочка
12884,яблоки фуджи кг,овощи_и_фрукты
8701,варен летн вишн грамм,гастрономия
2137,крупа макфа рис длиннозерный грамм,бакалея
5051,печенье лента пиччи классич сдобн грамм,чай_и_сладкое
8428,у сыр брест литовский грамм,гастрономия
7080,голубика грамм,овощи_и_фрукты
10756,сметана п п грамм процент,молочка
7263,двд сметана _ грамм,молочка
2725,пакет магнит белый пластиктре,упаковка
6386,хлеб раменский в с кг чп хачатря,хлеб
4646,клей секунд,для_дома
2004,тетр а литр kлетkа,для_дома
3290,сироп шипов литр,чай_и_сладкое
9932,кр окт конф мишка косолап грамм,чай_и_сладкое
7162,спот е хmax w металл бел basico,для_дома
5529,бананы свежий цена за кг,овощи_и_фрукты
1053,оплатазак мастерская работа мастера,услуги
11984,молочный иван под процент,напитки
1996,пижама женсkая s xl,одежда_и_обувь
12492,b напиток голд классик персик яблоко литр твист,напитки
11535,econ бумага д выпеч см х м,для_дома
6978,зразы дн карт с мяс под сл грамм под,гастрономия
3127,боксмастер or фри cт,кафе
1683,сидр chest,алкоголь
9090,сигареты винстон иксстайл блю тв п,табак
11407,шампунь чистая линия клевер мл,косметика
250,яблоки глостер кг,овощи_и_фрукты
107,смесь similac грамм с мес,дети
10761,салф сл литр,для_дома
12036,балт бер сел жир спец пос грамм,гастрономия
10396,сметана веселый молочник процент грамм,молочка
6378,mirinda газированный нап литр пэт пепсико,напитки
1313,водка тяпница процент литр питейный,алкоголь
8102,пюре яблоко банан грамм фрутоняня p,дети
5906,крахмал картофельный грамм аллегро специи,бакалея
6849,мясн пр колб любительс гост кат,гастрономия
11021,ромовая баба арнаут грамм,чай_и_сладкое
7261,двд топл молочный пастеризованный _ грамм,молочка
5556,апельсины свежий цена за кг,овощи_и_фрукты
3203,узи матки и придатков при беременности до недель,здоровье
13620,сыр кабош российский процент кусок грамм,гастрономия
7286,колом вафли каприч шоколадный нач грамм,чай_и_сладкое
7747,китайская смесь polvit грамм,овощи_и_фрукты
9716,смеситель стп д кух бета рез,для_дома
5538,тенд сода пищевая карт кор грамм,бакалея
13356,кисломолочный напиток имунеле земляника процент грамм,молочка
4467,сок сады придонья яблочный литр,дети
7414,творог простоквашино обезжирен,молочка
572,белая долина молоко процент литр ф,молочка
1397,масло золотая семечка подсолне,бакалея
9034,хлеб живое зернышко грамм,хлеб
12012,кинза пакет грамм,овощи_и_фрукты
2356,слад под весел снегов нов грамм,чай_и_сладкое
6112,зерна пшеницы русский десерт карам грамм,чай_и_сладкое
9762,молоко пастеризованный процент литр ф п корен,молочка
11842,jard кофе guat at раст ст б грамм,чай_и_сладкое
13263,напиток б а lipton холчай малина l,напитки
5943,сухарики хрустим грамм,снеки
1201,b геркулес экстра овсяные хлопья кг клин,бакалея
10015,сосиски молочные гло,гастрономия
2382,зубная паста детская gsk aquaf,здоровье
7059,игруш мыл пуз мл,дети
5966,папка конверт а на кнопке смайлы swo,для_дома
4161,автодержатель perfeo,машина
7529,сосиски клинские грамм,гастрономия
13034,пиво жигулевское литр,алкоголь
3900,чудесный край печен сладкоеж зат,чай_и_сладкое
11719,соус сырный,кафе
11674,дезодорант стик axe signature защита от пятен мл,косметика
2947,томаты свежий цена за кг,овощи_и_фрукты
6357,колбаса казачья п к н о грамм мпк атяшевский,гастрономия
12567,миндаль орехомания д п грамм,снеки
9749,колбаса папа может мясная покрытые оболочкой вес,гастрономия
4680,заглушка пвх белая к подоконнику,для_дома
5839,кефир процент грамм кд,молочка
1661,помидор мини красный кнр кг,овощи_и_фрукты
8074,lucky days сдобные палочки с зем,чай_и_сладкое
9373,семена тыквы семушка грамм,гастрономия
12482,сырок молочный остров в ас те процент грамм,молочка
3993,сливки сарафаново мл,молочка
12249,трк аи к премиум,машина
12881,пакет перекресток майка х см,упаковка
7942,hochl сыр пл с вет процент ван грамм,молочка
11579,зефир ванильный денисовы пекарни грамм,чай_и_сладкое
1215,b масло сливочное традиционное из вологды процент грамм,молочка
7040,агама палтус филе грамм,рыба
2727,сметана процент кг п пак якмп,молочка
8108,пакет перекресток майка х см,упаковка
10073,мусс даниссимо йогуртный воздушн,молочка
12033,чудохлеб хлеб дарницкий грамм,хлеб
7045,kефир гост процент мл,молочка
7012,пиво в kозел неф,алкоголь
8738,игр развив горка в,дети
4435,сок яблоко зеленый м,напитки
5564,любятово печенье сдоб лим мята грамм целл пл келлог,чай_и_сладкое
3174,чудесный kрай хлеб урожайный рж пш н,хлеб
5723,милград сметана процент грамм пл ст брянский мк,молочка
5746,перец болгарский свежий красный цена за кг,овощи_и_фрукты
1627,пакеты д завтрака чистюля в рулоне штука,для_дома
363,батон нарезной в с грамм сургутский хз,хлеб
4326,сельская ярмарка томаты тепличные в,овощи_и_фрукты
10339,хлеб тх городской нарез грамм,хлеб
10176,laime сыр сметанк ломт процент грамм,гастрономия
7527,лист лавровый грамм,бакалея
10996,прокладки always ultra normal,здоровье
8523,м сгущ любимое грамм процент д п штука ндс процент,чай_и_сладкое
5604,миф авт стир пор в свежесть долины роз кг прок,для_дома
2163,добрый сок яблочный осветлённый,напитки
1914,сев mолoкo mаслo cлиb рeзнoй па,молочка
2583,мясосл сосиски молоч кат б грамм,гастрономия
6103,торт птичье молоко шоколадное кг фили бейкер,чай_и_сладкое
3938,салат сырный грамм,кулинария
9416,салат айсберг штука,кулинария
7543,виски уайт хорс процент х литр,алкоголь
7568,байтсытерияки с соусом,кафе
2070,pupi проклад cotton drynet штука,здоровье
11961,сосиски молочные гост газированный ср грамм велик,гастрономия
10713,сумка пп с ручками а,упаковка
9241,биойогурт активиа грамм,молочка
5217,пакет лента майка кг,упаковка
6840,пирог заkусочный,кулинария
12116,фн напит яблочный экст ромаш лип,напитки
9357,изд мак aida грамм,бакалея
547,печенье брянконфи брянская изюминка грамм,чай_и_сладкое
9316,водка беленькая люкс процент литр р,алкоголь
6318,сосиски сливочные грамм вакуумная упаковка клинский,гастрономия
13123,шоколад alpen gold молочный черника грамм,чай_и_сладкое
1664,маска д век mondsub коллагеновая с биозолотом грамм,косметика
8362,sc sb nt,одежда_и_обувь
2007,тетрадь литр спираль,для_дома
7891,напиток ascania б алк литр,напитки
4892,пряники мятные сладояр,чай_и_сладкое
12921,зажигалка дней газовая однораз,для_дома
6462,леденцы sula мультивитамин грамм,чай_и_сладкое
12786,сельдь океанов грамм,гастрономия
4616,актимель процент клюква малина чабрец грамм,молочка
9390,супер смазка nanoprotech мл,для_дома
10533,дрожжи саф момент хл п сухой грамм,бакалея
3807,пэт тара литр,упаковка
245,конфеты ласточка грамм,чай_и_сладкое
11958,фо хурма азербайджан кг,овощи_и_фрукты
5919,прост сметана процент грамм,молочка
8055,помидоры кг,овощи_и_фрукты
7772,чечевица мистраль красная грамм,бакалея
5508,шоk break orange грамм,чай_и_сладкое
2094,кофе станд,кафе
1895,а а пшено экстра шл грамм,бакалея
7739,биокефир будем здоровы процент,молочка
5153,жевательная резинка орбит xxl сладкая мята грамм,здоровье
1554,бокс под суши мал,упаковка
11676,хлеб отрубной грамм,хлеб
1802,подгуз х ул к д м,дети
6364,сосиски молочные по черкизовски грамм чмпз,гастрономия
5832,свампиг губк,для_дома
10614,капуста пц вес,овощи_и_фрукты
5510,шоkолад молочный bre,чай_и_сладкое
2708,баб сем семечки грамм,снеки
12837,хрен столовый дой пак грамм,бакалея
7862,вафельный сэндвич грамм,чай_и_сладкое
5147,energy short b blue,одежда_и_обувь
8287,салатная смесь танго микс грамм,овощи_и_фрукты
3324,бурэkас с творогом,кулинария
6987,биойогурт danone актив гус черник процент,молочка
2730,пакет пятерочка х см,упаковка
2194,сыр творож с зеленый грамм,гастрономия
1289,деттол салф а бактер,для_дома
12147,майонез мр рикко органик на перепелином яйце процент мл дой пак,бакалея
3167,kонфеты виторс с фундуком,чай_и_сладкое
5764,мозырское молоко пастеризованный процент литр ф п мозырские мп,молочка
9007,батончик твикс экстра грамм,чай_и_сладкое
800,кока кола ср,кафе
5447,сметана процент кг пэ п чуп мозырские молочные прод,молочка
12984,мука пшеничная хлебопекарная в с кг,бакалея
3351,трк бензин автомобильный аи аи к,машина
13237,напиток б а lipton холчай лимон l,напитки
13606,makfa вермишель длинная грамм,бакалея
8271,семена подсолнечника обжар грамм м у,снеки
11008,кубанский молочник кефир процент,молочка
8417,молоко пискаревский мз пастеризованный процент грамм,молочка
1020,биотворог тема клубн банан процент ф с грамм,дети
10582,освежитель цитрус,для_дома
3234,пакет малый х х,упаковка
7243,масло подсолн литр кд,бакалея
2699,конфеты осен вальс,чай_и_сладкое
13296,носки minimi stella р,одежда_и_обувь
7123,bond горошек зеленый ж б грамм,овощи_и_фрукты
11068,спз кекс маффин с ванилин грамм,чай_и_сладкое
3139,тема биотв с lgg банан процент грамм,дети
847,пакет черный,упаковка
11090,напиток б а pepsi пепси кола с газированный l,напитки
7743,фасоль heinz в томатном соусе,овощи_и_фрукты
2328,дск банан фасованный кг,овощи_и_фрукты
12046,картофель кг,овощи_и_фрукты
9890,нектар добрый микс апельс яблоко перс морк литр т п,напитки
12478,творог данон растишка процент клубника банан грамм,молочка
10298,колбаса сервелат в к вакуумная упаковка грамм штука новоу,гастрономия
9035,пирожные тирольские грамм,чай_и_сладкое
12194,нaпиток пивhoй жatецkий гycь чер,алкоголь
8249,бат наше солнышко нар в с грамм,хлеб
9880,kартоф с сыром штука,кафе
44,вкуснот йогурт с ванил процент грамм,молочка
9078,электроэнергия т,услуги
2691,пакет майка х,упаковка
3024,мука пшеничная кг,бакалея
3376,набор губок профиль,для_дома
3534,kikkoman соус соевый с б мл,бакалея
13302,комм шоколадный трюф элит грамм,чай_и_сладкое
1710,пакет лента майка кг,упаковка
5459,пластилин цв со стеком карт упаковка хатбер,дети
3732,баранки дней киевские сах с маком грамм,чай_и_сладкое
1604,вареники карт грибы грамм,кулинария
5367,rw x xs футболка женская,одежда_и_обувь
1889,юбил печен молоч флоу пак грамм,чай_и_сладкое
12371,солянка сборная грамм,кулинария
12850,пюре бл нерка грамм с мес,дети
13372,кисель грамм,кафе
191,old spice дезодорант мужской стик wolfthorn мл прокт,косметика
10441,нектар добрый яблочн,напитки
6089,напиток б а карачинская шоряблстс грамм l,напитки
1424,garage пивной нап со вкусом лимон,алкоголь
5835,льюсога прст,для_дома
3788,батон нарезной нарезка п э грамм,хлеб
13647,печень трески пелагу,гастрономия
12170,дядя ваня закуска венгерская грамм ст б албаши,бакалея
6792,грамм амир новостей н,для_дома
183,ложка загребушка в асс те нг,для_дома
3893,сок волжский посад яблочный т п литр,напитки
10647,пив нап амстерд литр,алкоголь
1352,sh игровой набор животных sea аnimal,дети
5470,мыло хоз процент грамм аист,для_дома
188,tom cat kорм д кош рыба в соусе грамм пауч,животные
4004,fris корм гов подл вз конс грамм,животные
10618,картофель белый вес,овощи_и_фрукты
1102,прокладки kotex янг сетч нормал штука,здоровье
8554,кукуруза молодая bonduelle,овощи_и_фрукты
4808,сметана процент стожок стакан грамм pl,молочка
4837,хлопья ясно солнышко грамм,бакалея
6129,киндер молочный ломтик грамм,дети
1638,салат нежность с колбасой вес,кулинария
6748,свечи playful mickey с держ,для_дома
8867,пакет п э х без упаковка,упаковка
13292,лук репчатый кг,овощи_и_фрукты
3,пакет пятерочка х см,упаковка
5745,киви свежий цена за кг,овощи_и_фрукты
11486,мешки пылесборники cp ozone литр,для_дома
7500,салат харбин,кулинария
2735,р кух смесь с брокколи грамм,овощи_и_фрукты
13334,бензин аи к нал трк,машина
13374,пакет лента майка кг,упаковка
1428,чудесный край хлеб дарницкий рж пш н,хлеб
3392,зерно маркет перекресток грамм,гастрономия
5476,творожный сырок ностальгия процент грамм изюм,молочка
9943,огурец длинноплодный штука,овощи_и_фрукты
11885,клевер сметана процент кг пл ст п,молочка
6930,вода пит красный ключ газированный литр пэт,напитки
3912,московский сырок гл печен малина грамм,молочка
4548,la fresh kрем мыло ромашка экст хлоп,для_дома
12992,укроп зеленый свежий цена за штука,овощи_и_фрукты
6720,приход,услуги
10377,хлебок батоны нарез в с нар грамм,хлеб
13416,козинак подсолнечный,чай_и_сладкое
1094,б полотенца лента сл штука,для_дома
8355,пиде с сыром с мясом,кафе
11814,агуша творог фруктовый яблоко ба,дети
4542,масло подсолнечное олейна рафинированное дезодорированно,бакалея
8765,бумага а svetocopy,для_дома
13286,сосн колб балыковая п к грамм,гастрономия
8342,мандарины,овощи_и_фрукты
4130,грамм бекон с к нарезка mc,гастрономия
2876,баскет крыльев процент шткур крылышки,кафе
5791,kомпот из кураги мл,кафе
6733,трк аи к g drive,машина
10308,sl x s платье женское,одежда_и_обувь
12172,скатерть самобранка корнишоны мл скатерть самоб,овощи_и_фрукты
3382,ж мыло биофлора м,для_дома
3288,панкейки кг,гастрономия
7223,хлеб деревенский грамм,хлеб
2897,курица на воке,кафе
5034,фасоль стручковая резаная зам вес кг,овощи_и_фрукты
8420,сыр arla натура сливочный процент нар грамм,гастрономия
4839,батон хлебный дом домашний грамм,хлеб
1261,арбуз ранний кг,овощи_и_фрукты
4065,kitkat шоколадный молочный с хруст вафл грамм фл п нестле россия,чай_и_сладкое
5611,перец болгарский свежий оранжевый в цена за кг,овощи_и_фрукты
13202,рис увелка жасмин грамм,бакалея
3948,имбирь kорень вес,овощи_и_фрукты
1402,кетчуп heinz с чесноком и грамм,бакалея
6136,помидоры черри пуля упаковка,овощи_и_фрукты
5770,красный октябрь конф ласточка грамм кр октябрь,чай_и_сладкое
2289,полка лдсп закр угл х х мм дуб сон,для_дома
11748,газированный вода тоник швеппс литр,напитки
8729,книжка детская,дети
9559,пиво dab пастер св фильтр ж б,алкоголь
7899,мыло русалочка жидкое мл,для_дома
13294,пакет карусель х,упаковка
4101,грамм кр фасованный бондюэль,овощи_и_фрукты
13499,акция свежий фишка,услуги
4315,сыр витязь процент,гастрономия
13631,пшено spar грамм,бакалея
13311,яблоки фуджи кг,овощи_и_фрукты
8216,лаваш тандырный грамм,хлеб
9404,коктейль очак джин тоник грейпфрут процент литр ж б,алкоголь
9484,перец янтарь сладкий лидер,овощи_и_фрукты
4917,картофельное пюре,кафе
7505,багет ветчина и,кафе
1170,марс грамм марс,чай_и_сладкое
6053,каравай хлеб старор тихвин грамм,хлеб
6477,тинькофф банк платеж,услуги
156,пакет перекресток майка х см,упаковка
2859,напиток из черной смородины мл,кафе
6585,твор кл бан пломб,дети
10724,трюфель в шокол грамм,чай_и_сладкое
10585,огурцы соленые,овощи_и_фрукты
889,штуцер для соединения сливных шлангов шк,для_дома
12818,салат руккола грамм,овощи_и_фрукты
4312,печенье слоеное вес,чай_и_сладкое
6569,пакет майка дикси х пнд,упаковка
210,крупа агроальянс кускус грамм,бакалея
2733,мясосл сосиски молоч кат б грамм,гастрономия
8851,papia бум бал цв туал сл рул,для_дома
12225,восточный гость приправа универсальн,бакалея
3913,тд сметанин сырок в рожке со сгущенк,молочка
13284,п гурм пицца салями шамп грамм,гастрономия
6838,фасоль стручковая резан с м вес,овощи_и_фрукты
10389,пакеты пнд х майка мкм,упаковка
185,праздник сластёны зефир глаз с аром ванили грамм но,чай_и_сладкое
11744,смен мод барьер ж,для_дома
6702,пакет фасовочный в рулоне см штука,для_дома
9227,сидр стронгбоу литр,алкоголь
7019,яблоки гала фасованный,овощи_и_фрукты
626,драже жевательный mentos жаркий микс грамм,чай_и_сладкое
11649,кабачки кг,овощи_и_фрукты
134,перец долма вес кг,овощи_и_фрукты
10467,с порошок persil свежий вернель кг,для_дома
11882,слива свежий цена за кг,овощи_и_фрукты
10332,крем сливочный процент грамм стакан пмз,чай_и_сладкое
2925,сигареты с фильтром kent nanotek silver,табак
2840,молоко процент грамм,молочка
8401,heinz соус грибной грамм,бакалея
7079,ватные диски cotoneve для снят,для_дома
13468,teekanne ройбуш,чай_и_сладкое
11435,багет с ветчиной и сыром грамм,хлеб
11238,тренажер actico диск здоровья ir,для_дома
9348,кефир искренне ваш т п процент литр,молочка
4756,kрепление д душа хр,для_дома
12460,биойогурт слобода процент грамм вишня,молочка
3393,семга gustafsen грамм,гастрономия
11268,дез т rexona crystal clear aq мл,косметика
980,савушkин продуkт паста твор черника,молочка
13520,oriental touch для рук бальз рег щий грамм,косметика
8733,пакет майка х,упаковка
11083,напиток nescafe крепкий грамм,чай_и_сладкое
8668,помело вес,овощи_и_фрукты
2436,пицца маргарита см,кафе
2878,байтсытерияки с соусом,кафе
4635,рамка поста цвет антрацит etika,для_дома
8091,пакет полиэтиленовый мм,упаковка
728,груша конференция вес,овощи_и_фрукты
5753,агуша пюре груша с мес грамм гуала пак вбд,дети
2503,йог процент грамм натур,молочка
4853,морковь весовая кг,овощи_и_фрукты
4227,мука пш цельн франц штучка кг,бакалея
12979,юбил печенье с кусоч клюк грамм,чай_и_сладкое
10821,шелkовица вес,овощи_и_фрукты
12156,слобода йогурт вязкий пастеризованный персиковый процент грамм п,молочка
3220,тариф мтс smart безлимитище trio р самара штука,услуги
11522,кoф haпиtok з в мak koфe грамм,чай_и_сладкое
3137,тема прод биолакт к м грамм,дети
6288,ролл сэндвич с тунцом яйцом и салатом,кафе
6422,кефир с крыш процентжирн,молочка
4953,сыр маасдам фламан процент,гастрономия
3934,кабачки кг,овощи_и_фрукты
11534,тенд сахар песок сахар бел кг,бакалея
7131,к ц сардина нат д м ж б грамм,рыба
7102,dirol мараkуя грамм,здоровье
1547,сок rich яблочный литр,напитки
234,бананы кг,овощи_и_фрукты
5895,редис свежий упак кг цена за штука,овощи_и_фрукты
13044,пакет майка карусель см,упаковка
13219,салат нежный вес,кулинария
9979,смородина вол яг зам пакет грамм,овощи_и_фрукты
12444,чай рич камомайл пак грамм гринфилд,чай_и_сладкое
5769,яблоки свежий урожай цена за кг,овощи_и_фрукты
3875,сосиски экстра правильное решение грамм pl,гастрономия
9170,десерт первым делом какао арах,чай_и_сладкое
7393,мусс йогур danone ванил малина процент мл,молочка
12553,майонез провансаль процент грамм стакан мжк,бакалея
10310,сковорода с антипр покр см f,для_дома
7721,туал бум делика мини,для_дома
12805,порошок paclan brileo кг,для_дома
12093,рулет из мяса птицы к в вакуумная упаковка,гастрономия
1309,сметана процент штука,молочка
974,шоkоладово печ шоколадный chocoline карам грамм,чай_и_сладкое
7239,рубашка modis,одежда_и_обувь
3073,days мини круас нач клуб грамм,чай_и_сладкое
546,киви вес кг,овощи_и_фрукты
7940,фн пюре яблочный бан грамм с печ грамм,напитки
2993,кефир асеньевская ферма процент мл,молочка
1156,шоколад риттер спорт элит какао из эквадора процент грамм,чай_и_сладкое
7718,сметана вкуснотеево процент грамм стак,молочка
9470,салфетки bouquet литр штука ооо русская бумага алл продукция грамм,для_дома
11870,молоко просто процент мл тфа,молочка
920,завтраки ого мюсли грамм,бакалея
10442,соус сое сенсой тери,бакалея
9114,щ для детей colgate,дети
3063,хруст сухарикибаг томат зеленый грамм,снеки
6066,перец мини микс упаковка,овощи_и_фрукты
12377,креветки неочищенные кг,рыба
1231,b сырок глазир б ю александров в темном шокол с ванилино,молочка
12317,биойогурт активиа грамм,молочка
2226,хлебец fazer подовый грамм,хлеб
2000,тетрадь литр kл,для_дома
1150,простоквашино молоко пастеризованный процент,молочка
11003,капуста свежий цена за кг,овощи_и_фрукты
5431,мясная смесь d,кафе
6682,печенье чокопай грамм lotte,чай_и_сладкое
12923,бон пар марм кис чер жевательный фр грамм,чай_и_сладкое
7974,пакет пятерочка х см,упаковка
1051,оплатазак опр nano fangame упаковка пластик д,услуги
4592,яблоки айдаред вес кг,овощи_и_фрукты
9823,мыло хоз процент грамм,для_дома
11826,буренkин луг прод со сметан процент грамм,молочка
12848,творог свитлогорье процент грамм,молочка
11105,шоколад alpen gold молочный сол минд карам грамм,чай_и_сладкое
4183,грамм пр ва для плова kotanyi,бакалея
5192,хлеб литовский новый р п грамм ритейл,хлеб
9473,томат вишенка черная,овощи_и_фрукты
2866,з щ доктор клин медиум,здоровье
10196,котлета полтавская,кафе
10249,сельсkая ярмарkа огурцы пупырч kубан,овощи_и_фрукты
12103,б zewa т бумага х сл плюс сире,для_дома
12551,помидор на ветке красный кг кнр,овощи_и_фрукты
8253,д в д молочный пастеризованный процент пэт мл,молочка
969,р гель тинт оттеночный д губ кисс ми эгейн т грамм,косметика
7873,творог процент грамм kд,молочка
8981,чипсы лейс грамм россия,снеки
12598,бананы кг,овощи_и_фрукты
3466,вода красный ключ литр б газа,напитки
597,трусы д дев fm шорты р g,одежда_и_обувь
5511,сыр брынза рассоль,гастрономия
767,петрушка листовая свежий цена за,овощи_и_фрукты
1618,хлеб золотая нива в с грамм грамм киров,хлеб
10054,батон версальский в с грамм перв,хлеб
12402,творожный десерт с бананом грамм,молочка
3385,бальзам яд гюрзы м,косметика
13507,упаковочные пакеты белый l,упаковка
9009,пакет с логотипом,упаковка
2673,сухар рж чеснок грамм,снеки
12647,флакон aw смен магнолия вишня,для_дома
13133,помело кг,овощи_и_фрукты
5343,коровка из кореновки творог процент грамм дой па,молочка
5130,чистая линия скраб очищающий мл ю,косметика
8864,alp gold шоколадный мак мар поп к грамм,чай_и_сладкое
4786,бананы кг,овощи_и_фрукты
1586,пр настр пряники вк шоколадный тр грамм,чай_и_сладкое
5073,прокладки libresse ultra normal штука,здоровье
12585,груша kонференция,овощи_и_фрукты
3718,молоко питьевое пастеризованное процент пэт бутылка грамм аф ле,молочка
12962,тд сметанин kефир процент грамм ф п солюд,молочка
2373,лук репчатый кг п э упак,овощи_и_фрукты
12912,winston compact plus impulse,табак
7503,куриный медал ш,кафе
8510,хлеб боярский кг упаковка хлебогор оао,хлеб
12419,подгуз трусики дней xl кг штука,дети
3360,с пр молочный бр литр ул пастеризованный процент литр,молочка
11482,батон нарезной нарезк,хлеб
4800,пэт тара литр,упаковка
3432,сkотч стор ммx м,для_дома
11047,чипсы lay s сметана зелень грамм,снеки
3374,жид ть д снятия лака,косметика
12675,арбидол капс мг упак,здоровье
7034,аг максфан шоколадный бискв грамм,чай_и_сладкое
13039,платье,одежда_и_обувь
1601,оладьи из печени,кулинария
10809,бабкины семечки жареные соленые грамм,снеки
7988,папа мож колб вареная покрытые оболочкой грамм,гастрономия
